1800,CAPN6,827
1810,H2BU1,128312
1814,DOCK3,1795
1815,CLCA4,22802
1818,SARDH,1757
1825,TRIM63,84676
1827,TRMT13,54482
1833,LCT,3938
1847,MBP,4155
1857,RAB12,201475
1864,SDR9C7,121214
1869,ARPP19,10776
1889,HNRNPL,3191
1892,RTP1,132112
1894,C12orf66,144577
1898,ALDOA,226
1901,LTC4S,4056
1903,PACSIN3,29763
1908,MRPL37,51253
1914,ELOC,6921
1916,HYAL1,3373
1939,HNRNPA1,3178
1941,STAT3,6774
1951,HIBCH,26275
1952,DMAP1,55929
1957,PIGX,54965
1963,HAS2,3037
1973,WNT11,7481
1987,FGD1,2245
2008,IFNA2,3440
2017,KLK7,5650
2018,WDR43,23160
2020,S100A11,6282
2022,ZP3,7784
2034,SGPP1,81537
2048,SIK1,150094
2056,SUN2,25777
2066,INPP5D,3635
2073,ZNF764,92595
2082,KIF1A,547
2086,HACE1,57531
2093,CUL5,8065
2110,DIDO1,11083
2116,CTBP2,1488
2122,CD36,948
2124,ASB10,136371
2125,RPL39,6170
2127,ATP6V1G1,9550
2147,UBB,7314
2156,GPR83,10888
2158,STAM,8027
2163,SETD2,29072
2167,PELI1,57162
2169,AKT1,207
2170,PPIP5K2,23262
2176,NSRP1,84081
2178,ERP44,23071
2180,PF4V1,5197
2185,DHCR24,1718
2187,HACL1,26061
2193,BTD,686
2195,YAP1,10413
2198,TLR2,7097
2202,BRD4,23476
2205,RAP2C,57826
2211,VKORC1,79001
2217,MTA1,9112
2220,CDC7,8317
2222,PTGFR,5737
2225,PHF20,51230
2226,PNN,5411
2230,STXBP3,6814
2231,CNTN5,53942
2238,EFNB2,1948
2258,SBF1,6305
2262,SEM1,7979
2266,ITGA10,8515
2273,TAF15,8148
2275,PRKAB1,5564
2278,FYTTD1,84248
2284,RINT1,60561
2294,UHRF2,115426
2297,KLK2,3817
2301,DCAF13,25879
2310,MAPKAPK5,8550
2314,RNF138,51444
2315,ALDH18A1,5832
2317,IPMK,253430
2325,IMPA1,3612
2336,MCM5,4174
2341,RPL9,6133
2363,SERPINA3,12
2367,ELP1,8518
2369,TFB1M,51106
2372,MPO,4353
2375,NME3,4832
2380,CBFB,865
2383,COX8A,1351
2411,DENND1C,79958
2415,CASP8AP2,9994
2418,PLD3,23646
2426,EPHA1,2041
2440,PAN2,9924
2457,PDCD11,22984
2461,COL24A1,255631
2469,ZFPM1,161882
2470,PKP2,5318
2472,TUBGCP5,114791
2474,IDH3G,3421
2476,LEO1,123169
2480,SMARCB1,6598
2485,GH2,2689
2488,FGD2,221472
2494,ADCY8,114
2507,RANGRF,29098
2517,PPP2R5E,5529
2520,RPS5,6193
2528,DAB1,1600
2537,SORL1,6653
2547,HSPA1A,3303
2548,SF3B4,10262
2552,HECTD1,25831
2566,GTF2H3,2967
2576,SLC28A1,9154
2579,CLTA,1211
2582,MYO1C,4641
2589,PRKAG1,5571
2595,CYP11B2,1585
2604,RDH16,8608
2605,GSDME,1687
2612,PMM2,5373
2615,PPM1A,5494
2627,CD27,939
2635,PCMT1,5110
2641,SLC23A2,9962
2647,UQCR11,10975
2661,H4C1,8359
2679,RHOBTB1,9886
2691,DCTN1,1639
2697,CASR,846
2707,PFN1,5216
2714,GFOD1,54438
2723,PPM1F,9647
2751,OR4S1,256148
2760,RARRES2,5919
2777,IRAK1,3654
2786,CHMP2A,27243
2800,CDC37L1,55664
2802,E2F1,1869
2810,NRXN1,9378
2812,SPRY2,10253
2822,ARHGEF15,22899
2824,SRPK2,6733
2829,GLP2R,9340
2833,PLA1A,51365
2837,PPFIBP1,8496
2844,CASP6,839
2850,NCAPH,23397
2853,KHK,3795
2859,SERINC2,347735
2862,SERPINB6,5269
2863,LALBA,3906
2866,CNTRL,11064
2900,PVR,5817
2909,LNPEP,4012
2916,MSH2,4436
2926,PPCS,79717
2929,ROR1,4919
2943,ITPR2,3709
2960,PGLS,25796
2969,STXBP2,6813
2970,SLC22A4,6583
2988,MSI2,124540
2991,SUCLA2,8803
2992,DNA2,1763
2993,CYP2C18,1562
2994,C1QA,712
2998,MTR,4548
3000,PEX3,8504
3020,ZNF136,7695
3022,BTG2,7832
3026,CHRNB2,1141
3033,PERP,64065
3051,MYL12A,10627
3063,TRIM46,80128
3069,VBP1,7411
3070,PTK2,5747
3077,SOX1,6656
3078,TRMT12,55039
3082,UBA7,7318
3088,KLHL42,57542
3100,WWTR1,25937
3111,FSTL3,10272
3116,INTS3,65123
3118,ADRB1,153
3131,HMGCR,3156
3145,RBBP5,5929
3150,RIOK3,8780
3168,PAN3,255967
3190,BAIAP2L1,55971
3191,HTR1B,3351
3197,MGAT1,4245
3203,BAX,581
3207,NPPC,4880
3208,EPHB4,2050
3211,CPSF2,53981
3219,SLITRK3,22865
3221,ZNF726,730087
3222,FFAR3,2865
3223,MANEA,79694
3228,ATAD2,29028
3235,MAP2K3,5606
3240,TTF1,7270
3244,ING3,54556
3256,GPR65,8477
3275,NT5C,30833
3282,TCF4,6925
3291,RPE,6120
3292,TFDP1,7027
3294,CEP192,55125
3305,HAUS4,54930
3317,FLOT2,2319
3325,PIGT,51604
3344,MND1,84057
3363,IL1A,3552
3371,TAGLN2,8407
3379,CDT1,81620
